,location,category,title
0,제주도,1,우도
1,제주도,1,성산 일출봉
2,제주도,1,생각하는 정원
3,제주도,1,제주 올레길
4,제주도,1,함덕 서우봉 해변
5,제주도,1,만장굴
6,제주도,1,협재 해수욕장
7,제주도,1,한라산 국립공원
8,제주도,2,제주 올레길
9,제주도,2,함덕 서우봉 해변
10,제주도,2,협재 해수욕장
11,제주도,2,영실
12,제주도,2,한라산 성판악
13,제주도,2,월정리해변
14,제주도,2,세화 해수욕장
15,제주도,2,이호테우해변
16,제주도,3,제주난타
17,제주도,3,페인터즈 히어로 제주
18,제주도,3,점보 빌리지
19,제주도,3,쿠킹 난타
20,제주도,3,테이크파이브 재즈클럽
21,제주도,3,제주 스카이워터쇼
22,제주도,3,Jeju Circus World
23,제주도,3,옹알스 전용관
24,제주도,4,제주맥주
25,제주도,4,맥파이 브루어리
26,제주도,4,서귀포매일올레시장
27,제주도,4,온고 푸드 커뮤니케이션즈 - 제주 프라이빗 당일 투어
28,제주도,4,고마워토토 아뜰리에
29,제주도,4,토토아뜰리에
30,제주도,4,투데이즈 프렌드
31,제주도,4,도남시장
32,제주도,5,동문 재래시장
33,제주도,5,제주 중앙지하상가
34,제주도,5,제주시 민속 오일시장
35,제주도,5,Jeju Chilsung Fashion Street
36,제주도,5,아라리오뮤지엄 탑동시네마
37,제주도,5,서귀포매일올레시장
38,제주도,5,아라리오뮤지엄 동문모텔
39,제주도,5,빛의 벙커
