,location,category,title
0,전라남도,1,향일암
1,전라남도,1,순천만 습지
2,전라남도,1,유달산
3,전라남도,1,오동도
4,전라남도,1,여수 해상케이블카
5,전라남도,1,순천만정원
6,전라남도,2,신지명사십리 해수욕장
7,전라남도,2,여수 해양 레일바이크
8,전라남도,2,만성리검은모래해변
9,전라남도,2,우전해수욕장
10,전라남도,2,와온해변
11,전라남도,2,정남진 편백숲우드랜드
12,전라남도,3,예울마루
13,전라남도,3,빅오쇼
14,전라남도,3,해남문화예술회관 대공연장
15,전라남도,3,장흥문화예술회관
16,전라남도,3,국립남도국악원
17,전라남도,3,서편제 보성소리전수관
18,전라남도,4,순천 아랫장 시장
19,전라남도,4,낭만포차로
20,전라남도,4,순천 웃장
21,전라남도,4,역전시장
22,전라남도,4,구례 자연드림파크
23,전라남도,4,담양 커피농장
24,전라남도,5,여수 수산시장
25,전라남도,5,순천 아랫장 시장
26,전라남도,5,한국천연염색박물관
27,전라남도,5,순천 웃장
28,전라남도,5,신안젓갈타운
29,전라남도,5,신안군 송도수산물유통센터
